title,company,town,link
Продавець-мерчендайзер спортивного магазину (ТРЦ Victory Plaza),PUMA,Кривий Ріг,https://grc.ua/vacancies/69942955
Продавець за прилавок,Novus,Київ,https://grc.ua/vacancies/69942970
"Менеджер з продажу (мобільні телефони, планшети, аксесуари)",Юг-Контракт,"Дніпро, вулиця Канатна, 126",https://grc.ua/vacancies/69940244
"Продавець-консультант спортивного бренду (вулиця Борщагівська, 173/187)",PUMA,Київ,https://grc.ua/vacancies/69942924
"Касир-продавець ЖК ""Кришталеві Джерела""",Novus,Київ,https://grc.ua/vacancies/69942929
"Продавець-мерчендайзер спортивного магазину (Універмаг ""Львів"")",PUMA,Львів,https://grc.ua/vacancies/69942930
Продавець-консультант спортивного магазину (ТРЦ Respublika Park),PUMA,Київ,https://grc.ua/vacancies/69942932
Комірник спортивного магазину (проспект Героїв),PUMA,Дніпро,https://grc.ua/vacancies/69942934
Продавець-мерчандайзер спортивного магазину (ТРЦ King Cross Leopolis),PUMA,Львів,https://grc.ua/vacancies/69942939
"Продавець-мерчендайзер спортивного магазину (ТЦ ""Караван"")",PUMA,Київ,https://grc.ua/vacancies/69942941
"Продавець-мерчандайзер спортивного магазину (ТЦ ""Спектр"")",PUMA,Київ,https://grc.ua/vacancies/69942943
"Продавець-мерчендайзер спортивного магазину (ТЦ ""Магелан"")",PUMA,Київ,https://grc.ua/vacancies/69942945
"Продавець-консультант спортивного магазину (ТРЦ ""Міст-Сіті"")",PUMA,Дніпро,https://grc.ua/vacancies/69942947
Продавець-консультант спортивного магазину (ТРЦ Lavina Mall),PUMA,Київ,https://grc.ua/vacancies/69942949
"Продавець-консультант спортивного магазину (ТЦ ""Караван"")",PUMA,Київ,https://grc.ua/vacancies/69942950
"Продавець-консультант спортивного магазину (ТЦ ""Магелан"")",PUMA,Київ,https://grc.ua/vacancies/69942952
"Продавець-консультант спортивного магазину (ТЦ ""Караван"")",PUMA,Київ,https://grc.ua/vacancies/69942953
"Продавець-касир спортивного магазину (ТРЦ ""Терра"")",PUMA,Кривий Ріг,https://grc.ua/vacancies/69942956
"Торговий представник (з авто), менеджер з продажів",Юг-Контракт,Хуст,https://grc.ua/vacancies/69940243
Продавець продовольчих товарів (центр),Novus,Київ,https://grc.ua/vacancies/69942966
Продавець-мерчендайзер спортивного магазину (ТРЦ Терра),PUMA,Кривий Ріг,https://grc.ua/vacancies/69942969
"Торговий представник (з авто), менеджер з продажів",Юг-Контракт,"Дніпро, вулиця Канатна, 126",https://grc.ua/vacancies/69940246
Комірник спортивного магазину (ТРЦ Терра),PUMA,Кривий Ріг,https://grc.ua/vacancies/69942971
Продавець за прилавок (центр),Novus,Київ,https://grc.ua/vacancies/69942972
"Менеджер з продажу, торговий представник (з авто)",Юг-Контракт,Хмельницький,https://grc.ua/vacancies/69940248
Продавець-консультант магазину цифрової та побутової техніки (Вараш),Фокстрот,Рівне,https://grc.ua/vacancies/69942226
Продавець-консультант магазину цифрової та побутової техніки,Фокстрот,Вінниця,https://grc.ua/vacancies/69942228
Продавець-консультант магазину цифрової та побутової техніки,Фокстрот,Харків,https://grc.ua/vacancies/69942230
Продавець-консультант магазину цифрової та побутової техніки,Фокстрот,Житомир,https://grc.ua/vacancies/69942227
Продавець-консультант магазину цифрової та побутової техніки,Фокстрот,Черкаси,https://grc.ua/vacancies/69942229
Продавець-консультант магазину цифрової та побутової техніки,Фокстрот,Вінниця,https://grc.ua/vacancies/69942233
Продавець-консультант (Чайки ),Novus,Стоянка,https://grc.ua/vacancies/69942916
Продавець за прилавок (Чайки),Novus,Стоянка,https://grc.ua/vacancies/69942917
Продавець за прилавок,Novus,Київ,https://grc.ua/vacancies/69942831
Продавець продовольчих товарів (відділ м'яса),Novus,Київ,https://grc.ua/vacancies/69942847
Продавець-консультант,Novus,Київ,https://grc.ua/vacancies/69942815
"Продавець-консультант у відділ ""Напої""",Novus,Київ,https://grc.ua/vacancies/69942827
Продавець консультант (м. Лівобережна),Novus,Київ,https://grc.ua/vacancies/69942843
Продавець за прилавок (Борщагівка),Novus,Київ,https://grc.ua/vacancies/69942886
Продавець за прилавок (Лук'янівка),Novus,Київ,https://grc.ua/vacancies/69942817
Продавець продовольчих товарів,Novus,Київ,https://grc.ua/vacancies/69942833
Продавець за прилавок (Райдужний масив),Novus,Київ,https://grc.ua/vacancies/69942837
Продавець-консультант ( м.Осокорки ),Novus,Київ,https://grc.ua/vacancies/69942841
Продавець-консультант (алкогольний відділ),Novus,Київ,https://grc.ua/vacancies/69942846
Продавець-консультант (м. Чернігівська),Novus,Київ,https://grc.ua/vacancies/69942849
Продавець-касир в Міні-Маркет (м.Лівобережна Каховська 62 - а),Novus,Київ,https://grc.ua/vacancies/69942874
Продавець за прилавок (Лавіна мол),Novus,Київ,https://grc.ua/vacancies/69942890
Продавець гастрономія ( Севастопольська площа),Novus,Київ,https://grc.ua/vacancies/69942820
Продавець-консультант (Контрактова площа),Novus,Київ,https://grc.ua/vacancies/69942824
Продавець продовольчих товарів,Novus,Київ,https://grc.ua/vacancies/69942830
"Пекар в новий магазин (Росток, НАУ)",Novus,Київ,https://grc.ua/vacancies/69942834
Продавець за прилавок ( Оболонь ),Novus,Київ,https://grc.ua/vacancies/69942836
Продавець-консультант,Novus,Київ,https://grc.ua/vacancies/69942838
Продавець за прилавок (м.Осокорки),Novus,Київ,https://grc.ua/vacancies/69942844
Продавець за прилавок ( м`ясний відділ),Novus,Київ,https://grc.ua/vacancies/69942845
Продавець продовольчих товарів (м. Чернігівська),Novus,Київ,https://grc.ua/vacancies/69942848
Продавець продовольчих товарів відділ кулінарія (Троєщина),Novus,Київ,https://grc.ua/vacancies/69942850
"Продавець-консультант (Софіївська Борщагівка, ЖК Львівський Маєток))",Novus,Київ,https://grc.ua/vacancies/69942854
Продавець (кулінарія),Novus,Київ,https://grc.ua/vacancies/69942857
Продавець на викладку (Борщагівка),Novus,Київ,https://grc.ua/vacancies/69942865
Продавець-консультант (Петропавлівська Борщагівка ),Novus,Київ,https://grc.ua/vacancies/69942884
Продавець за прилавок (м. Святошин),Novus,Київ,https://grc.ua/vacancies/69942888
"Продавець на викладку в новий магазин (Росток, НАУ)",Novus,Київ,https://grc.ua/vacancies/69942897
Продавець-консультант (Святошинський район ),Novus,Київ,https://grc.ua/vacancies/69942907
Продавець за прилавок в супермаркет (Троєщина),Novus,Київ,https://grc.ua/vacancies/69942852
Продавець (Крюківщина),Novus,Вишневе,https://grc.ua/vacancies/69942853
Продавець за прилавок (Борщагівка),Novus,Київ,https://grc.ua/vacancies/69942866
"Продавець відділу риби ТЦ ""Скаймолл"" Троєщина, Райдужний",Novus,Київ,https://grc.ua/vacancies/69942879
Продавець за прилавок (Петропавлівська Борщагівка),Novus,Київ,https://grc.ua/vacancies/69942883
Продавець за прилавок (м. Академмістечко),Novus,Київ,https://grc.ua/vacancies/69942887
Продавець за прилавок (Святошинський р-н),Novus,Київ,https://grc.ua/vacancies/69942889
"Продавець за прилавок в новий магазин (Росток, НАУ)",Novus,Київ,https://grc.ua/vacancies/69942896
Продавець-консультант (центр),Novus,Київ,https://grc.ua/vacancies/69942908
Продавець за прилавок (Святошинський район),Novus,Київ,https://grc.ua/vacancies/69942910
Продавець за прилавок (Дніпровський район),Novus,Київ,https://grc.ua/vacancies/69942800
